PID,UR,AltUR,Alias,Merged,Deleted,familyName,givenName,birthdate,sex,streetNo,streetName,shortStreetType,suburb,state,postcode,country,sa1,meshblock,longitude,latitude,mobile,homePhone,businessPhone,email,medicareNo,dvaNo,dvaType,height,weight,waist,hips,married,race,deathDate
20010,10044,,,,,EDWARDSDE,TREVORNO,1985-10-25,M,47,KURRAJONG,DR,EAST SIDE,NT,0870,AUS,70201104603,70002440000,133.89798176,-23.68945631,0491570157,0755501584,0770109819,trevorno.edwardsde@his4ehr.com,53956096532,,,184,70.1,80,98,D,4,
20011,10049,,,,,BELNAPHI,ERNESTOFG,1997-10-22,M,25,BOETDOEMBA,ST,NIGHTCLIFF,NT,0810,AUS,70102102508,70011250000,130.85143629,-12.38915407,0491570158,0755508825,0770100609,ernestofg.belnaphi@his4ehr.com,55608373574,,,179,73.6,91,104,D,4,
20012,10054,301656,,,,YARNOLDGH,PERRYAB,1954-11-02,M,7,KERR,CT,KNUCKEY LAGOON,NT,0828,AUS,70102102607,70011840000,130.92613267,-12.42116507,0491570159,0755508294,0770108834,perryab.yarnoldgh@his4ehr.com,52752556144,,,177,90,88,115,M,4,
20013,10058,,,,,SALMONVW,CHRISTINEIJ,1971-10-29,F,6,HICKEY,CT,LARRAKEYAH,NT,0820,AUS,70101100501,70016392200,130.82528171,-12.45262712,0491570156,0755508251,0770103226,christineij.salmonvw@his4ehr.com,59383361824,,,158,101.2,101,128,S,4,
20014,10062,304612,,,,DOLLAMAB,DONALDOP,1962-10-31,M,33,MICK,ST,CANTEEN CREEK,NT,0872,AUS,70202105505,70032250000,135.58765879,-20.64382919,0491570157,0755507882,0770106975,donaldop.dollamab@his4ehr.com,50342340111,,,179,98,98,116,S,4,
20015,10066,306482,,,,HEMMINGSJK,VICTORCD,1977-10-27,M,,ROSS,RD,VENN,NT,0852,AUS,70201105206,70031670000,132.43424511,-14.51335115,0491570156,0755500062,0770109126,victorcd.hemmingsjk@his4ehr.com,56536686974,,,181,96,108,95,S,4,
20016,10070,303573,,,,YANGYANGXY,RICHARDAB,1945-12-03,M,90,GOODE,RD,HUMPTY DOO,NT,0836,AUS,70201105106,70000611000,131.08183539,-12.61291981,0491570156,0755509564,0770109715,richardab.yangyangxy@his4ehr.com,58506518471,,,173,83,74,83,M,4,
20017,10074,,10022,,,O'CONNORMN-VAN DIJL,LINDAST,1988-10-24,F,11,POINCIANA,ST,NIGHTCLIFF,NT,0810,AUS,70102102511,70016413700,130.84939298,-12.37765899,0491570158,0755502989,0770106082,lindast.o'connormn@his4ehr.com,59993356774,,,166,69,87,80,S,4,
20018,10079,306780,,,,WARNERBC,VANESSABC,1940-11-05,F,42,MULLAMULLA,CCT,KARAMA,NT,0812,AUS,70102101912,70007950000,130.91724171,-12.39921412,0491570110,0755509600,0770105537,vanessabc.warnerbc@his4ehr.com,56165033764,,,160,77,84,128,M,4,
20019,10083,300448,,,,UYCOCOAB,PATRICKVW,1961-10-31,M,8,MACDONALD,ST,PARAP,NT,0820,AUS,70102102303,70010020000,130.84180271,-12.43101512,0491570158,0755505271,0770109296,patrickvw.uycocoab@his4ehr.com,58808278013,,,167,94,96,102,M,1,
20020,10088,305364,,,,OZICHYZ,JEANQR,1967-10-30,F,32,SPEARWOOD,RD,SADADEEN,NT,0870,AUS,70102102210,70009320000,133.9023679,-23.69753479,0491570158,0755500438,0770104325,jeanqr.ozichyz@his4ehr.com,57811670915,,,159,68,65,90,M,4,
20021,10092,301419,,,,FERLITSCHIJ,ROBERTMN,1966-10-30,M,25,PROVIDENCE,CT,KATHERINE EAST,NT,0850,AUS,70104103812,70035550000,132.29481856,-14.46571021,0491570157,0755504389,0770106437,robertmn.ferlitschij@his4ehr.com,57779935073,,,168,64,62,81,M,4,
20022,10097,305063,,,,CHAUGH,ELAINEAB,1953-11-02,F,95,LACKMAN,TCE,BRAITLING,NT,0870,AUS,70102102211,70009381000,133.86387142,-23.67763304,0491570110,0755500043,0770109405,elaineab.chaugh@his4ehr.com,58441120172,SSS11784B,WHT,156,87,99,109,D,4,
20023,10101,304484,,,,KEOGHBC,ROBERTYZ,1969-12-30,M,8,NONDA,CT,KARAMA,NT,0812,AUS,70201104806,70001620000,130.9172617,-12.39794257,0491570157,0755509808,0770102283,robertyz.keoghbc@his4ehr.com,56936631751,,,176,67,68,74,M,4,
20024,10105,300234,,,,FRANKLINAB,MARYHI,1951-11-03,F,39,UNDOOLYA,RD,EAST SIDE,NT,0870,AUS,70201104609,70002100000,133.89726159,-23.6945674,0491570158,0755509406,0770108487,maryhi.franklinab@his4ehr.com,51233031245,,,152,59,64,72,S,4,
20025,10109,303832,,,,CROUSJK,FAYEGH,1973-10-28,F,38,WULAGI,CR,WULAGI,NT,0812,AUS,70104103819,70016417000,130.89570852,-12.38517627,0491570157,0755500806,0770105889,fayegh.crousjk@his4ehr.com,52858137745,,,169,65,64,69,M,4,
20026,10114,307167,,,,TAYLORAB,MICHAELPQ,1943-11-05,M,253,ALEC FONG LIM,DR,EAST POINT,NT,0820,AUS,70101100301,70035960000,130.81930222,-12.40781331,0491570159,0755502628,0770102980,michaelpq.taylorab@his4ehr.com,53185602462,,,172,76,78,83,M,4,
20027,10118,,,,,KLIMOWITSKYMN,ALBERTNO,1981-10-26,M,88,NGWUNGA,ST,ALYANGULA,NT,0885,AUS,70204106202,70016780000,136.42276365,-13.85097753,0491570157,0755503979,0770103518,albertno.klimowitskymn@his4ehr.com,50436533925,,,183,91.7,101,100,M,4,2020-08-08
20028,10123,308010,,,,RYANRS,TERIIJ,1972-10-28,F,48,MATLA,CR,LYONS,NT,0810,AUS,70202105614,70031830000,130.89051064,-12.36047394,0491570158,0755501669,0770104895,teriij.ryanrs@his4ehr.com,57905543414,,,157,77,81,123,S,4,
20029,10127,304463,,,,PEPPERVW,GEORGIAVW,1977-10-27,F,23,HUDSON FYSH,AV,PARAP,NT,0820,AUS,70201105406,70003240000,130.84889592,-12.43004485,0491570156,0755502134,0770106422,georgiavw.peppervw@his4ehr.com,51650687253,,,165,66,74,77,W,4,
20030,10131,308570,,,,MIRFASSIHIST,TONIYZ,1956-11-01,F,3730,STUART,HWY,ACACIA HILLS,NT,0822,AUS,70201104709,70001520000,131.1199385,-12.79649606,0491570159,0755504299,0770106291,toniyz.mirfassihist@his4ehr.com,59460272765,,,157,58,58,67,S,4,
20031,10135,,,,,CRONOWFG,FRANKBC,1975-10-28,M,3,NUMBAT,CT,BERRY SPRINGS,NT,0838,AUS,70103103510,70016383400,131.0567863,-12.71093769,0491570158,0755506586,0770100504,frankbc.cronowfg@his4ehr.com,57282377535,,,190,96.5,105,110,D,4,
20032,10140,301247,,,,TIUKOWHI,CARRIEBC,1958-11-01,F,71,KALYMNOS,DR,KARAMA,NT,0812,AUS,70102101912,70007950000,130.91959671,-12.39990612,0491570157,0755502649,0770106396,carriebc.tiukowhi@his4ehr.com,53762264351,,,165,49,53,74,M,4,
20033,10145,300664,,,,HATZIKOSTASCD,MINNIEKL,1951-11-03,F,3,TREWREN,ST,DURACK,NT,0830,AUS,70101100229,70006402000,130.97995293,-12.47201506,0491570157,0755501363,0770103123,minniekl.hatzikostascd@his4ehr.com,56240612653,,,158,67,74,88,D,4,
20034,10150,307728,,,,PHUNGGH,NICHOLASST,1943-11-05,M,16,CHRISTIE,ST,FANNIE BAY,NT,0820,AUS,70202105609,70016421100,130.83890853,-12.42551011,0491570156,0755501777,0770109499,nicholasst.phunggh@his4ehr.com,54746909635,,,182,76,88,99,M,4,
20035,10154,301700,,,,JEFFERYNO,CELESTEOP,1956-11-01,F,830,PIONEER,DR,HUMPTY DOO,NT,0836,AUS,70103103224,70020620000,131.16458821,-12.55592989,0491570157,0755505949,0770104347,celesteop.jefferyno@his4ehr.com,50684745731,,,153,69,73,100,S,4,
20036,10159,305428,,,,GRAYYZ,TANESHAAB,1962-10-31,F,236,TROWER,RD,WAGAMAN,NT,0810,AUS,70104103606,70022850000,130.88239659,-12.3779311,0491570157,0755507804,0770102899,taneshaab.grayyz@his4ehr.com,54828859943,,,160,87,93,121,M,4,
20037,10163,300944,,,,SFERLAZZAPQ,MAYRAXY,1955-11-02,F,15,MUSGRAVE,CR,COCONUT GROVE,NT,0810,AUS,70101100231,73792000000,130.85339074,-12.39215837,0491570110,0755502539,0770103788,mayraxy.sferlazzapq@his4ehr.com,58860446345,,,154,84,83,91,M,4,
20038,10167,302046,,,,BASHIR-HUSSEINGH,EDNAKL,1963-10-31,F,4,HUSNES,AV,NHULUNBUY,NT,0880,AUS,70204106402,70022200000,136.77037179,-12.19249615,0491570157,0755503533,0770100576,ednakl.bashir-husseingh@his4ehr.com,56505933864,,,162,65,68,80,D,4,
20039,10171,305687,,,,YOUNGGH,LOISHI,1973-10-28,F,15,STEPHANIE,ST,BELLAMACK,NT,0832,AUS,70102101306,70010550000,130.98330277,-12.51935973,0491570158,0755504840,0770108014,loishi.younggh@his4ehr.com,54191287114,,,166,91,96,96,M,4,
20040,10175,308310,,,,BURTONOP,JAMESVW,1964-10-30,M,33,MISTLETOE,CCT,KARAMA,NT,0812,AUS,70101100604,70009290000,130.91572627,-12.39305586,0491570158,0755500902,0770109960,jamesvw.burtonop@his4ehr.com,56465864214,,,168,78,72,103,D,4,
20041,10180,,10031,,,FULLERMN,JOSEPH,1980-10-26,M,13,LLOYD,RD,HUMPTY DOO,NT,0836,AUS,70203105803,70028090000,131.09957687,-12.57542855,0491570156,0755505515,0770103142,richardvw.wilsonkl@his4ehr.com,50168690563,,,184,87,86,103,S,4,
20042,10184,300470,,,,SHAWDE,PAULKL,1958-11-01,M,43,NEWMARCH,ST,MUIRHEAD,NT,0810,AUS,70102102107,70016412400,130.89474512,-12.36143147,0491570156,0755506524,0770109093,paulkl.shawde@his4ehr.com,54226645671,,,180,96,104,104,S,4,
20043,10189,307685,,,,FORRESTUV,MARYUV,1962-10-31,F,31,LARAPINTA,DR,GILLEN,NT,0870,AUS,70103103510,70016423700,133.86902203,-23.70141813,0491570157,0755508129,0770109796,maryuv.forrestuv@his4ehr.com,51604254114,,,162,58,60,82,M,4,
20044,10193,306332,,,,MOHAMEDDE,TABITHAJK,1976-10-27,F,12,APETYARR,ST,ALPURRURULAM,NT,4825,AUS,70202105507,70002980000,137.84810602,-20.98684376,0491570159,0755506654,0770103710,tabithajk.mohamedde@his4ehr.com,50987155063,,,173,66,73,94,W,4,
20045,10197,301528,,,,BURNSNO,LILYIJ,1961-10-31,F,4,BATTEN,RD,MARRARA,NT,0812,AUS,70205106708,70018920000,130.91416606,-12.40868015,0491570158,0755504529,0770102092,lilyij.burnsno@his4ehr.com,56167382473,,,160,96,101,110,M,4,
20046,10201,,,,,PARTELLENO,CHRISVW,1997-10-22,M,9,GUNBAR,ST,BAYVIEW,NT,0820,AUS,70101100903,70005860000,130.85670971,-12.43755012,0491570158,0755508733,0770105168,chrisvw.partelleno@his4ehr.com,50734617325,,,174,88.1,105,117,M,4,
20047,10206,303680,,,,WAGEMANNEF,JOSEEF,1939-11-06,M,52,CALLISTEMON,DR,KATHERINE EAST,NT,0850,AUS,70203106101,70016398300,132.2839887,-14.46175576,0491570158,0755508687,0770106000,joseef.wagemannef@his4ehr.com,59347822212,,,167,82,95,88,M,4,
20048,10210,303187,,,,PUGLISIPQ,CASSANDRALM,1946-11-04,F,148,CHEENEY,RD,FINNISS VALLEY,NT,0822,AUS,70102102610,70011910000,130.96570143,-13.07798477,0491570158,0755507340,0770102839,cassandralm.puglisipq@his4ehr.com,55381315574,,,167,55,63,78,M,4,
20049,10215,,,,,TRAWNLM,SALLYHI,1943-11-05,F,26,NUDL,ST,STUART PARK,NT,0820,AUS,70101100807,70012610000,130.8435432,-12.43884226,0491570158,0755507035,0770103503,sallyhi.trawnlm@his4ehr.com,59525500544,,,144,65.7,65,69,M,4,
20050,10220,308742,,,,HAUTANIEMIQR,KIMBERLYDE,1972-10-28,F,28,FANNING,DR,BAYVIEW,NT,0820,AUS,70201104701,70000750000,130.85947712,-12.43623303,0491570158,0755504952,0770102252,kimberlyde.hautaniemiqr@his4ehr.com,55248080451,,,159,85,88,121,M,4,
20051,10225,307510,,,,GLEESONNO,TONIHI,1972-10-28,F,8,GARDINER,ST,DARWIN CITY,NT,0800,AUS,70102101501,70014270000,130.84417321,-12.46000425,0491570158,0755508769,0770103627,tonihi.gleesonno@his4ehr.com,55879242014,,,153,57,50,83,S,4,
20052,10229,303402,,,,SMITHERSHI,JIMBC,1974-10-28,M,13,HARVARD,GR,DURACK,NT,0830,AUS,70104103814,70016395700,130.9744247,-12.47294112,0491570158,0755508367,0770109550,jimbc.smithershi@his4ehr.com,51364580824,,,185,98,100,104,S,4,
20053,10233,,,,,FREWIJ,BENJAMINJK,2011-10-19,M,22730,CENTRAL ARNHEM,RD,WEST ARNHEM,NT,0822,AUS,70203106104,70016404600,134.59017358,-13.03530787,0491570156,0755508800,0770107192,benjaminjk.frewij@his4ehr.com,59770722714,,,141,45.1,68,62,S,4,
20054,10237,301008,,,,HENNESSYOP,DEANXY,1971-10-29,M,8,DE HAVILLAND,DR,ARALUEN,NT,0870,AUS,70101100909,70005840000,133.8608353,-23.70436827,0491570159,0755506253,0770108717,deanxy.hennessyop@his4ehr.com,59471295821,,,176,89,86,88,M,4,
20055,10242,309344,,,,PRICETU,CHRISNO,1964-10-30,M,25,FUHRMANN,ST,MUIRHEAD,NT,0810,AUS,70203106101,70016398300,130.89289745,-12.35353409,0491570158,0755508741,0770105326,chrisno.pricetu@his4ehr.com,50031649045,,,180,82,88,75,M,4,
20056,10246,,,,,KELLETTFG,ORAQR,1987-10-25,F,,BALAMURRA,ST,NGUKURR,NT,0852,AUS,70205106608,70034380000,134.73145464,-14.7361887,0491570156,0755506659,0770103908,oraqr.kellettfg@his4ehr.com,57905247114,,,158,74.2,79,131,M,4,
20057,10250,307749,,,,PERRYMN,ALFREDQR,1954-11-02,M,17,KURKARA,CR,YULARA,NT,0872,AUS,70201104604,70002210000,130.9854209,-25.23726263,0491570157,0755500693,0770104597,alfredqr.perrymn@his4ehr.com,59936992672,,,177,73,79,79,S,4,
20058,10254,302002,,,,DILLONKL,ARRONXY,1941-11-05,M,21,POTT,ST,MOIL,NT,0810,AUS,70205106706,70018510000,130.87833671,-12.38691312,0491570159,0755501072,0770109150,arronxy.dillonkl@his4ehr.com,58877522253,,,166,87,86,86,M,4,
20059,10259,308203,,,,PARKERKL,CAROLYNKL,1955-11-02,F,215,BROOKING,CCT,VIRGINIA,NT,0834,AUS,70102102005,70008590000,131.01296433,-12.54778213,0491570110,0755508669,0770103239,carolynkl.parkerkl@his4ehr.com,54792276855,,,160,66,73,105,S,4,
20060,10264,307815,,,,MCCALLTU,VICTORBC,1978-10-27,M,1,LELA,CT,MOULDEN,NT,0830,AUS,70201104608,70002390000,130.97244741,-12.51281618,0491570156,0755507577,0770100059,victorbc.mccalltu@his4ehr.com,51248111553,,,173,39,38,46,M,4,
20061,10268,,10031,,,FULLERMN,MICHAEL,1980-10-26,M,13,LLOYD,RD,HUMPTY DOO,NT,0836,AUS,70101100206,70006340000,131.09957687,-12.57542855,0491570156,0755507536,0770101779,tammypq.bartonqr@his4ehr.com,50168690563,,,184,79,81,97,S,4,
20062,10273,304007,,,,MORROWHI,CATHERINEAB,1952-11-02,F,5,KEKWICK,AV,BRAITLING,NT,0870,AUS,70201104505,70000290000,133.87164894,-23.68555868,0491570157,0755503399,0770107712,catherineab.morrowhi@his4ehr.com,54579773111,,,168,77,82,98,M,4,
20063,10277,305794,,,,HENDRYYZ,JAMESAB,1961-10-31,M,29,WAGAMAN,TCE,WAGAMAN,NT,0810,AUS,70102101306,70010550000,130.8860784,-12.38015233,0491570156,0755506686,0770101280,jamesab.hendryyz@his4ehr.com,56238990211,,,171,75,78,79,M,4,
20064,10282,301895,,,,BRENNANNO,SCOTTDE,1939-11-06,M,15,DAMIRRINDA,ST,LYONS,NT,0810,AUS,70103103224,70021080000,130.88941906,-12.35386502,0491570158,0755507215,0770106297,scottde.brennanno@his4ehr.com,51452141365,,,182,91,92,104,S,4,
20065,10286,303595,,,,KIRKWOODMN,JOSEPHLM,1961-10-31,M,42,NATION,CR,COCONUT GROVE,NT,0810,AUS,70101100605,70009180000,130.85371071,-12.39822412,0491570156,0755502845,0770101731,josephlm.kirkwoodmn@his4ehr.com,50243949435,,,183,63,62,80,M,4,
20066,10290,305964,,,,JAMASJIHI,MARYCD,1950-11-03,F,64,CRAWFORD,ST,KATHERINE EAST,NT,0850,AUS,70102101803,70007610000,132.28939836,-14.47804742,0491570110,0755508209,0770101581,marycd.jamasjihi@his4ehr.com,58304272754,,,156,69,64,81,S,4,
20067,10295,304290,,,,MILESCD,GLORIAIJ,1978-10-27,F,2,ELLENGOWAN,DR,NAKARA,NT,0810,AUS,70102101306,70010600000,130.87254755,-12.37291916,0491570159,0755502484,0770106444,gloriaij.milescd@his4ehr.com,54378412661,,,167,45,51,84,D,4,
20068,10299,301959,,,,ROBBBC,CYNTHIAJK,1959-11-01,F,23,ABRAHAMS,CT,MALAK,NT,0812,AUS,70102101905,70007680000,130.90827743,-12.39291933,0491570159,0755505630,0770105320,cynthiajk.robbbc@his4ehr.com,57835301231,,,159,83,82,101,M,4,
20069,10303,,,,,OLEKSYIJ,VERNAQR,1994-10-23,F,65,PROGRESS,DR,NIGHTCLIFF,NT,0810,AUS,70102102508,70011282000,130.8498641,-12.38841071,0491570159,0755506132,0770102782,vernaqr.oleksyij@his4ehr.com,50355482251,,,165,89.7,104,152,S,4,
20070,10308,305773,,,,FOXLM,JANAXY,1973-10-28,F,6,MOIL,CR,MOIL,NT,0810,AUS,70102102212,70009540000,130.88304896,-12.39084014,0491570156,0755503454,0770105598,janaxy.foxlm@his4ehr.com,51079150875,,,162,70,63,71,M,4,
20071,10313,,,,,DELIGIORGAKISOP,DONNIERS,1943-11-05,M,250,FARRAR,BVD,JOHNSTON,NT,0832,AUS,70104104220,70016408300,131.00589713,-12.4948847,0491570156,0755503343,0770100446,donniers.deligiorgakisop@his4ehr.com,50172402764,S 645424D,ORN,175,88.8,96,111,M,4,
20072,10317,302475,,,,WALTONNO,JEROMEDE,1974-10-28,M,34,FRANCES BAY,DR,DARWIN CITY,NT,0800,AUS,70104103811,70023800000,130.84752684,-12.45968173,0491570110,0755502860,0770101452,jeromede.waltonno@his4ehr.com,51080805973,,,174,95,95,103,W,4,
20073,10322,309839,,,,STEWARTJK,JOANNECD,1960-10-31,F,63,GAP,RD,THE GAP,NT,0870,AUS,70104104403,70024560000,133.87358169,-23.71587721,0491570158,0755500471,0770100959,joannecd.stewartjk@his4ehr.com,53825601045,,,163,72,82,115,M,4,
20074,10326,307188,,,,JATTANST,DOMINGACD,1964-10-30,F,171,HIDDEN VALLEY,RD,HIDDEN VALLEY,NT,0822,AUS,70101100906,70013631000,130.90833543,-12.44604262,0491570158,0755506905,0770102152,domingacd.jattanst@his4ehr.com,57835134415,,,168,86,90,125,S,4,
20075,10330,305193,,,,VUCD,DOUGLASST,1972-10-28,U,2,CORRIGAN,ST,WALLACE ROCKHOLE,NT,0872,AUS,70103103118,70021720000,133.08602425,-24.12324089,0491570159,0755503010,0770100642,douglasst.vucd@his4ehr.com,57485100421,,,183,101,100,134,S,4,
20076,10334,309301,,,,BORANCD,DANIELRS,1947-11-04,M,100,DELORAINE,RD,SHOAL BAY,NT,0830,AUS,70203105711,70003740000,130.96938616,-12.41439007,0491570158,0755506142,0770102982,danielrs.borancd@his4ehr.com,51239470964,,,169,81,89,92,S,4,
20077,10339,300534,,,,NOUNAEF,KELLEYIJ,1954-11-02,F,19,HENRY,ST,STUART PARK,NT,0820,AUS,70101100804,70012061000,130.84418371,-12.44696012,0491570159,0755509477,0770106890,kelleyij.nounaef@his4ehr.com,55406036972,,,161,86,88,91,M,4,
20078,10343,305470,,,,SARGEANTQR,JOSHUAOP,1966-10-30,M,5,REGULUS,CT,WOODROFFE,NT,0830,AUS,70201104808,70000880000,130.98031039,-12.50602587,0491570157,0755509025,0770100862,joshuaop.sargeantqr@his4ehr.com,57813230143,,,168,61,64,68,S,4,
20079,10347,303272,,,,LUONGKL,AMYCD,1940-11-05,F,8A,GARDINER,ST,DARWIN CITY,NT,0800,AUS,70101100226,70016402300,130.84406008,-12.45991501,0491570110,0755500142,0770104753,amycd.luongkl@his4ehr.com,56266078863,,,150,64,67,103,S,4,
20080,10352,,,,,DE HEAUMELM,NANCYGH,1973-10-28,F,26B,KLYN,CCT,NHULUNBUY,NT,0880,AUS,70204106409,70022080000,136.77412313,-12.18528467,0491570159,0755507030,0770108780,nancygh.de heaumelm@his4ehr.com,52434091212,,,168,68.0,72,134,S,4,
20081,10356,302973,,,,KAJPUSTNO,JOHNATHANHI,1975-08-27,M,5,HODGSON,DR,LEANYER,NT,0812,AUS,70201105204,70021810000,130.90161471,-12.37406212,0491570159,0755503155,0770101539,johnathanhi.kajpustno@his4ehr.com,51681203675,,,176,86,76,77,S,4,
20082,10361,,,,,CURREENHI,CLIFFORDMN,1969-10-29,M,25,NGWUNGA,ST,ALYANGULA,NT,0885,AUS,70204106202,70016780000,136.42276365,-13.85097753,0491570156,0755500825,0770102249,cliffordmn.curreenhi@his4ehr.com,56312884125,,,185,89.9,95,127,M,4,
20083,10366,307467,,,,PEDERSENST,DERRICKFG,1965-10-30,M,66,CROMWELL,DR,DESERT SPRINGS,NT,0870,AUS,70201104903,70002500000,133.8844123,-23.71375744,0491570156,0755507439,0770101643,derrickfg.pedersenst@his4ehr.com,55395307925,,,177,80,84,100,D,4,
20084,10370,303358,,,,CAINIJ,JOELMN,1954-11-02,M,27,MAHONY,CCT,DRIVER,NT,0830,AUS,70205106713,70019110000,130.97350995,-12.49379227,0491570157,0755508468,0770101156,joelmn.cainij@his4ehr.com,57343589815,,,170,104,110,121,M,4,
20085,10375,309796,,,,RANDELLAB,ELEANORJK,1956-11-01,F,44,FLETCHER,CCT,DRIVER,NT,0830,AUS,70102102001,70008690000,130.97722568,-12.48537739,0491570156,0755503020,0770103189,eleanorjk.randellab@his4ehr.com,58965497912,,,174,92,107,150,M,4,
20086,10379,,,,,FRAMEVW,DARYLVW,1962-10-31,M,26,AWANGK,ST,CANTEEN CREEK,NT,0872,AUS,70202105505,70032250000,135.58798916,-20.64533946,0491570110,0755506257,0770104233,darylvw.framevw@his4ehr.com,50263272934,,,178,91.2,95,114,M,4,
20087,10384,306091,,,,WILLIAMSPQ,CHRISXY,1970-10-29,M,104,MOREY,RD,COSSACK,NT,0850,AUS,70104104107,70016396400,132.21662466,-14.44060328,0491570110,0755502533,0770101292,chrisxy.williamspq@his4ehr.com,53838485831,,,172,75,75,91,M,4,
20088,10389,303530,,,,RENDENVW,DENNISKL,1951-11-03,M,14,OSTERMANN,ST,COCONUT GROVE,NT,0810,AUS,70102102110,70016413000,130.85075091,-12.39391049,0491570157,0755506324,0770103281,denniskl.rendenvw@his4ehr.com,54535214315,SA146907D,ORN,175,84,87,89,S,4,
20089,10394,301441,,,,PERRYMANWX,KRISTINTU,1940-11-05,F,211,WANDANJARA,RD,MILINGIMBI,NT,0822,AUS,70103103215,70021191000,134.91790237,-12.10353799,0491570156,0755507806,0770108971,kristintu.perrymanwx@his4ehr.com,53244841954,,,157,92,95,147,M,4,
20090,10398,308678,,,,BOWLYFG,BILLIEFG,1966-08-27,M,10,MUCKANINNIE,CT,MOULDEN,NT,0830,AUS,70104104304,70024940000,130.97201072,-12.51021738,0491570158,0755504473,0770102754,billiefg.bowlyfg@his4ehr.com,54977486233,SP105079B,GOL,174,50,56,65,M,4,
20091,10402,306694,,,,KNIGHTDE,ZACHARYKL,1974-10-28,U,17,LIVISTONA,RD,KARAMA,NT,0812,AUS,70102101914,70007920000,130.91360571,-12.39584012,0491570110,0755507738,0770105541,zacharykl.knightde@his4ehr.com,55032861471,,,176,64,64,78,S,4,
20092,10407,309753,,,,DOCHERTYTU,GUYCD,1956-11-01,M,15,MUSGRAVE,CR,COCONUT GROVE,NT,0810,AUS,70203105803,70028080000,130.8525383,-12.39199646,0491570158,0755501518,0770105380,guycd.dochertytu@his4ehr.com,55607681212,,,175,101,104,146,S,4,
20093,10412,305106,,,,GILBERTQR,JUDIXY,1974-10-28,F,64,STUART,HWY,FLYNN,NT,0875,AUS,70201104701,70000602000,133.86450256,-23.72683357,0491570157,0755507980,0770108770,judixy.gilbertqr@his4ehr.com,50254903265,,,155,89,88,120,M,4,
