PID,UR,Alias,Merged,Deleted,familyName,givenName,birthdate,sex,streetNo,streetName,shortStreetType,suburb,state,postcode,country,sa1,meshblock,longitude,latitude,mobile,homePhone,businessPhone,email,medicareNo,dvaNo,dvaType,height,weight,waist,hips,married,race,deathDate
500016,300342,,,,ROBERTSONJK,JASONKL,1939-11-06,M,5,BACON,ST,GILLEN,NT,0870,AUS,70201104703,70001440000,133.85985719,-23.70695042,0491570157,0755500897,0770108298,jasonkl.robertsonjk@his4ehr.com,57665140852,,,173,79.5,85,119,S,4,
500017,300364,,,,WALSHUV,THEODOREST,1976-10-27,M,13,GREENHIDE,RD,MARLOW LAGOON,NT,0830,AUS,70104103816,70035542000,130.96257321,-12.48510067,0491570157,0755506443,0770103567,theodorest.walshuv@his4ehr.com,55499901453,,,176,88.8,90,124,M,4,
500018,300385,,,,LAURIEVW,MIRTAXY,1947-11-04,F,971,ILPARPA,RD,WHITE GUMS,NT,0870,AUS,70201105103,70016412000,133.77793981,-23.75820769,0491570110,0755509537,0770101655,mirtaxy.laurievw@his4ehr.com,57743069742,,,149,95.6,96,123,M,4,
500019,300406,,,,SVJETLANOVICUV,ANTHONYJK,1972-10-28,M,21,HAWKER,ST,ZUCCOLI,NT,0832,AUS,70104104217,73799000000,131.00973136,-12.50286397,0491570156,0755501910,0770106956,anthonyjk.svjetlanovicuv@his4ehr.com,52962020451,,,186,92.5,97,108,D,4,
500020,300427,,,,HIMONETOSKL,VICTORIJ,1978-10-27,M,37,STANDLEY,ST,TENNANT CREEK,NT,0860,AUS,70202105608,70031692000,134.18343404,-19.65440138,0491570158,0755503016,0770108763,victorij.himonetoskl@his4ehr.com,50653098055,,,185,77.4,84,91,M,4,
500021,300448,,,,UYCOCOAB,PATRICKVW,1961-10-31,M,8,MACDONALD,ST,PARAP,NT,0820,AUS,70101100701,70016426300,130.84180271,-12.43101512,0491570158,0755505271,0770109296,patrickvw.uycocoab@his4ehr.com,58808278013,,,167,101.7,99,103,M,1,
500022,300470,,,,SHAWDE,PAULKL,1958-11-01,M,28,KOOYONGA,PDE,DURACK,NT,0830,AUS,70104103818,70023200000,130.9714357,-12.46941512,0491570156,0755506524,0770109093,paulkl.shawde@his4ehr.com,54226645671,,,179,94.8,100,101,S,4,
500023,300491,,,,PHANDE,TONIOP,1968-10-29,F,60,HEFFERNAN,RD,CONNELLAN,NT,0873,AUS,70201105110,70016395200,133.91009546,-23.77546932,0491570159,0755506129,0770105538,toniop.phande@his4ehr.com,57136248253,,,155,76.7,76,127,S,4,
500024,300512,,,,LEONARDDE,REGINALDVW,1971-10-29,M,901,STUART,HWY,HOLTZE,NT,0829,AUS,70103103114,70019590000,130.97075092,-12.45705798,0491570156,0755500227,0770100686,reginaldvw.leonardde@his4ehr.com,50900567873,,,177,95.4,96,96,M,4,
500025,300534,,,,NOUNAEF,KELLEYIJ,1954-11-02,F,7,ZENITH,CCT,WOODROFFE,NT,0830,AUS,70104104405,70024370000,130.98033955,-12.50832354,0491570159,0755509477,0770106890,kelleyij.nounaef@his4ehr.com,55406036972,,,158,83.3,87,91,M,4,
500026,300555,,,,DE SOUZAOP,EVELYNFG,1964-10-30,F,10,NEATE,CT,MALAK,NT,0812,AUS,70102102213,70009340000,130.90828471,-12.39514312,0491570158,0755500947,0770102078,evelynfg.de souzaop@his4ehr.com,56027658334,,,160,60.3,62,99,W,4,
500027,300577,,,,HAJAKIANST,MIKEST,1968-10-29,M,3,ROSE,CT,BRAITLING,NT,0870,AUS,70201104503,70000500000,133.86659004,-23.67678562,0491570157,0755503588,0770109876,mikest.hajakianst@his4ehr.com,59943024412,,,177,79.0,80,78,M,4,
500028,300598,,,,BROWNPQ,BRENDAUV,1954-11-02,F,290,ROBINSON,RD,BORROLOOLA,NT,0854,AUS,70205106612,70003520000,136.30952568,-16.06206072,0491570156,0755504359,0770102106,brendauv.brownpq@his4ehr.com,52182874164,,,155,65.1,67,87,S,4,
500029,300620,,,,KUTEKUTEQR,KIMBERLYYZ,1963-10-31,F,40,HENRY WRIGLEY,DR,EATON,NT,0820,AUS,70101100101,70014191000,130.87559878,-12.40594915,0491570158,0755508555,0770103037,kimberlyyz.kutekuteqr@his4ehr.com,53291593563,,,160,77.5,80,109,S,4,
500030,300642,,,,RICHARDSONTU,BRENDAMN,1975-10-28,F,12,BRUMBY,CT,MARLOW LAGOON,NT,0830,AUS,70104103816,70025190000,130.96706663,-12.50006903,0491570156,0755508143,0770105699,brendamn.richardsontu@his4ehr.com,55675095862,,,163,70.0,73,83,W,4,
500031,300664,,,,HATZIKOSTASCD,MINNIEKL,1951-11-03,F,3,TREWREN,ST,DURACK,NT,0830,AUS,70104103813,70016387400,130.97995293,-12.47201506,0491570157,0755501363,0770103123,minniekl.hatzikostascd@his4ehr.com,56240612653,,,154,68.8,71,90,D,4,
500032,300686,,,,STIRLINGVW,TONINO,1970-10-29,F,38,CROMWELL,DR,DESERT SPRINGS,NT,0870,AUS,70201104903,70002500000,133.88342533,-23.71160304,0491570159,0755508584,0770102155,tonino.stirlingvw@his4ehr.com,51271867542,,,166,69.1,73,98,M,4,
500033,300708,,,,LAIRDOP,MIKEDE,1939-11-06,M,6,FINNISS,ST,DARWIN CITY,NT,0800,AUS,70101100224,73808000000,130.83895569,-12.45313642,0491570110,0755503700,0770100113,mikede.lairdop@his4ehr.com,50962737963,,,176,70.3,76,84,M,4,
500034,300729,,,,WARDEN-FERNANDEZFG,RACHAELDE,1941-11-05,F,2,BEAN,ST,AMOONGUNA,NT,0873,AUS,70201105203,70028240000,133.93657365,-23.76780673,0491570159,0755505744,0770106933,rachaelde.warden-fernandezfg@his4ehr.com,52783095355,,,153,54.8,58,71,M,4,
500035,300750,,,,GARTHMN,GINAXY,1963-10-31,F,47,HUMBERT,ST,LEANYER,NT,0812,AUS,70102102005,70008730000,130.89384671,-12.36782512,0491570159,0755504960,0770103406,ginaxy.garthmn@his4ehr.com,57385166313,SKM43938 ,ORN,169,80.8,89,131,S,4,
500036,300771,,,,LEAVISLM,RALPHAB,1948-11-03,M,61,PRIEST,CCT,GRAY,NT,0830,AUS,70104103902,70023720000,130.982475,-12.4940761,0491570110,0755509138,0770100065,ralphab.leavislm@his4ehr.com,59716132821,,,185,96.9,109,137,M,4,
500037,300793,,,,WALLEYCD,NATASHAVW,1940-11-05,F,10,CHEESEFRUIT,ST,ZUCCOLI,NT,0832,AUS,70104104211,73807000000,131.00449174,-12.51106132,0491570156,0755507051,0770103920,natashavw.walleycd@his4ehr.com,59625063615,,,159,71.4,78,101,M,4,
500038,300815,,,,PILKINGTONDE,BRYANMN,1946-11-04,M,65,DALWOOD,CR,MALAK,NT,0812,AUS,70102102205,70009310000,130.90959386,-12.39204526,0491570156,0755500314,0770104848,bryanmn.pilkingtonde@his4ehr.com,58839129965,,,172,68.3,72,80,M,1,
500039,300836,,,,TAKUSKL,SHELLYMN,1957-11-01,F,51,JAENSCH,RD,LANSDOWNE,NT,0850,AUS,70205106718,70018470000,132.30214595,-14.42726698,0491570158,0755500526,0770102326,shellymn.takuskl@his4ehr.com,52587933053,,,149,84.5,83,104,M,4,
500040,300858,,,,CUTTINGST,ROBERTOP,1972-10-28,M,27,ODEGAARD,DR,ROSEBERY,NT,0832,AUS,70104104318,70024910000,130.99380918,-12.50541691,0491570110,0755504597,0770101067,robertop.cuttingst@his4ehr.com,56128843522,,,184,85.1,89,100,M,4,
500041,300879,,,,ST.CLAIR-TELFORDJK,AARONCD,1958-11-01,M,134,MCKINNON,RD,PINELANDS,NT,0829,AUS,70104103807,70024782000,130.96596651,-12.4613123,0491570159,0755506087,0770102180,aaroncd.st.clair-telfordjk@his4ehr.com,57082284832,,,171,80.7,81,111,M,4,
500042,300900,,,,BRADLEYAB,ANNIEKL,1949-11-03,F,24,DREIER,ST,MUIRHEAD,NT,0810,AUS,70102102108,70016402100,130.89728754,-12.36457638,0491570110,0755506554,0770108853,anniekl.bradleyab@his4ehr.com,57779315832,,,159,70.0,75,86,M,4,
500043,300922,,,,BURTONQR,JILLFG,1965-10-30,F,2A,SAXBY,RD,VIRGINIA,NT,0834,AUS,70103103409,70020500000,131.03554892,-12.53286794,0491570159,0755508323,0770105970,jillfg.burtonqr@his4ehr.com,51778619473,,,159,57.0,59,83,W,4,
500044,300944,,,,SFERLAZZAPQ,MAYRAXY,1955-11-02,F,15,MUSGRAVE,CR,COCONUT GROVE,NT,0810,AUS,70102101607,70006662000,130.85339074,-12.39215837,0491570110,0755502539,0770103788,mayraxy.sferlazzapq@his4ehr.com,58860446345,,,156,80.7,83,90,M,4,
500045,300966,,,,CINCUNEGUINO,ENRIQUEEF,1965-10-30,M,65,DWYER,CCT,DRIVER,NT,0830,AUS,70104103701,70023040000,130.9792887,-12.48058212,0491570110,0755503517,0770101753,enriqueef.cincuneguino@his4ehr.com,52229370052,,,181,99.2,104,100,D,4,
500046,300987,,,,PICKERINGIJ,AMYBC,1972-10-28,F,30,MANJA,ST,NYIRRIPI,NT,0872,AUS,70201105302,70030800000,130.55167306,-22.6507663,0491570110,0755503360,0770101042,amybc.pickeringij@his4ehr.com,51527673223,,,170,80.5,87,122,M,4,
500047,301008,,,,HENNESSYOP,DEANXY,1971-10-29,M,8,DE HAVILLAND,DR,ARALUEN,NT,0870,AUS,70201104811,70001180000,133.8608353,-23.70436827,0491570159,0755506253,0770108717,deanxy.hennessyop@his4ehr.com,59471295821,,,178,88.1,89,88,M,4,
500048,301030,,,,WOCINSKACD,EILEENIJ,1967-10-30,F,48,EMERY,AV,WOODROFFE,NT,0830,AUS,70104104407,70024360000,130.98150184,-12.4959692,0491570158,0755505261,0770108924,eileenij.wocinskacd@his4ehr.com,54584321053,,,161,69.5,72,87,S,4,
500049,301052,,,,HEALEYTU,SCOTTPQ,1949-11-03,M,105,ROCKLANDS,DR,TIWI,NT,0810,AUS,70102102706,70012850000,130.88298329,-12.35487129,0491570159,0755505343,0770102886,scottpq.healeytu@his4ehr.com,57052421871,,,176,61.8,66,67,W,4,
500050,301074,,,,CONNOLLYYZ,KATHYFG,1948-11-03,F,32,ELLERY,DR,LARAPINTA,NT,0875,AUS,70201104808,70001100000,133.8318678,-23.69185036,0491570158,0755505901,0770108003,kathyfg.connollyyz@his4ehr.com,53910983665,,,162,95.9,105,150,W,4,
500051,301096,,,,PATTINSONHI,EVERETTBC,1949-11-03,M,15,FAIRWEATHER,CR,COOLALINGA,NT,0839,AUS,70103103408,70016430100,131.04141548,-12.51959926,0491570156,0755504525,0770102024,everettbc.pattinsonhi@his4ehr.com,57215792661,,,172,119.0,124,146,D,4,
500052,301118,,,,MCMAHONMN,LINGXY,1953-11-02,F,43,WOODS,ST,DARWIN CITY,NT,0800,AUS,70101100228,73835000000,130.84256075,-12.4605085,0491570110,0755507572,0770103902,lingxy.mcmahonmn@his4ehr.com,55795172543,,,153,45.3,46,59,M,4,
500053,301139,,,,SACIUKGH,RONDATU,1954-11-02,F,4,EUCHARIA,ST,BELLAMACK,NT,0832,AUS,70104104316,70016406300,130.98505315,-12.51009512,0491570157,0755508750,0770102908,rondatu.saciukgh@his4ehr.com,52569973274,,,161,87.7,94,120,S,4,
500054,301161,,,,HARRISONLM,MILDREDNO,1950-11-03,F,5,GARDINER,ST,DARWIN CITY,NT,0800,AUS,70101100229,70006402000,130.84371824,-12.45962571,0491570156,0755506321,0770108017,mildredno.harrisonlm@his4ehr.com,54805228031,,,159,78.6,84,100,M,4,
500055,301182,,,,GOHXY,SHELLYFG,1948-11-03,F,40,ERUMBA,ST,BRAITLING,NT,0870,AUS,70201104511,70000350000,133.87210071,-23.67670505,0491570156,0755500947,0770109494,shellyfg.gohxy@his4ehr.com,58970784834,,,159,74.1,80,124,D,4,
500056,301204,,,,EGANIJ,MARILOUJK,1962-10-31,F,31,GARNER,ST,BERRIMAH,NT,0828,AUS,70102101208,70014300000,130.93031234,-12.44287446,0491570158,0755506537,0770109005,mariloujk.eganij@his4ehr.com,59370303274,,,162,72.9,77,120,S,4,
500057,301225,,,,BOYCEOP,VICKIRS,1970-10-29,F,34,GERARDINE,CR,BELLAMACK,NT,0832,AUS,70104104313,70016394200,130.98258255,-12.5195513,0491570159,0755501400,0770103195,vickirs.boyceop@his4ehr.com,55720976771,,,163,70.4,73,81,D,4,
500058,301247,,,,TIUKOWHI,CARRIEBC,1958-11-01,F,24,LARRAKIA,RD,ROSEBERY,NT,0832,AUS,70104104307,70016390600,130.9941195,-12.50627848,0491570157,0755502649,0770106396,carriebc.tiukowhi@his4ehr.com,53762264351,,,166,49.9,54,75,M,4,
500059,301268,,,,HAMILTONDE,AMANDAQR,1971-10-29,F,4131,VICTORIA,HWY,BAINES,NT,0852,AUS,70205106811,70016403200,130.16765366,-15.68657183,0491570159,0755509912,0770105197,amandaqr.hamiltonde@his4ehr.com,54929125971,,,160,97.6,99,125,S,4,
500060,301289,,,,POTUCEKYZ,FRANCISCOCD,1975-10-28,M,9,RANGE,CR,DESERT SPRINGS,NT,0870,AUS,70201104910,70002400000,133.88780663,-23.71100274,0491570158,0755509895,0770100204,franciscocd.potucekyz@his4ehr.com,55577231133,,,180,83.6,86,99,M,4,
500061,301311,,,,MILLERMN,KATHYLM,1974-10-28,F,15,BAYVIEW,ST,FANNIE BAY,NT,0820,AUS,70101100401,70007130000,130.83462952,-12.41742935,0491570156,0755504376,0770109292,kathylm.millermn@his4ehr.com,58840809673,,,164,85.2,89,145,S,4,
500062,301332,,,,BAGNALLUV,MICHAELIJ,1948-11-03,M,530,HOPEWELL,RD,BERRY SPRINGS,NT,0838,AUS,70103103516,70020090000,131.006749,-12.75252954,0491570156,0755504210,0770107120,michaelij.bagnalluv@his4ehr.com,53309553163,,,168,83.0,84,102,M,4,
500063,301354,,,,KOZANITISHI,BESSIEBC,1952-11-02,F,11,CREED,CT,BAKEWELL,NT,0832,AUS,70104103606,70022610000,130.99816679,-12.50084482,0491570158,0755506594,0770101876,bessiebc.kozanitishi@his4ehr.com,57821072871,,,146,81.0,79,111,M,4,
500064,301375,,,,O'BRIENKL,ALMAJK,1949-11-03,F,140,ROBINSON,RD,BORROLOOLA,NT,0854,AUS,70205106614,73793000000,136.31352183,-16.07325414,0491570159,0755504120,0770109418,almajk.o'brienkl@his4ehr.com,56083173712,,,156,75.4,79,100,S,4,
500065,301397,,,,KOSCIELNYLM,CARLOSTU,1951-11-03,M,41,CAMERON,ST,BRAITLING,NT,0870,AUS,70201104507,70000340000,133.86474429,-23.67125185,0491570110,0755501187,0770106384,carlostu.koscielnylm@his4ehr.com,58481609954,,,175,74.2,78,73,M,4,
500066,301419,,,,FERLITSCHIJ,ROBERTMN,1966-10-30,M,25,PROVIDENCE,CT,KATHERINE EAST,NT,0850,AUS,70205106726,70019020000,132.29481856,-14.46571021,0491570157,0755504389,0770106437,robertmn.ferlitschij@his4ehr.com,57779935073,,,172,63.8,63,83,M,4,
500067,301441,,,,PERRYMANWX,KRISTINTU,1940-11-05,F,211,WANDANJARA,RD,MILINGIMBI,NT,0822,AUS,70204106305,70016422400,134.91790237,-12.10353799,0491570156,0755507806,0770108971,kristintu.perrymanwx@his4ehr.com,53244841954,,,158,92.6,100,147,M,4,
500068,301462,,,,CARTERRS,SHARONST,1946-11-04,F,17,ZIMRAN,ST,HAASTS BLUFF,NT,0872,AUS,70201105306,70030810000,131.87947063,-23.44699088,0491570158,0755504256,0770101060,sharonst.carterrs@his4ehr.com,50013293355,,,156,54.3,57,80,M,4,
500069,301484,,,,BENSON-LIDHOLMGH,ROBERTOFG,1941-11-05,M,10B,HEATHCOCK,ST,DURACK,NT,0830,AUS,70104103813,70016431200,130.97744259,-12.47167721,0491570158,0755505582,0770100525,robertofg.benson-lidholmgh@his4ehr.com,52842085624,SPX87266A,ORN,180,74.1,82,99,M,4,
500070,301506,,,,TRACYNO,BRANDONUV,1961-10-31,M,20A,MCMINNS,DR,MCMINNS LAGOON,NT,0822,AUS,70103103217,70020720000,131.07819551,-12.55275809,0491570157,0755500604,0770106124,brandonuv.tracyno@his4ehr.com,53668273052,,,170,75.0,74,76,W,4,
500071,301528,,,,BURNSNO,LILYIJ,1961-10-31,F,4,BATTEN,RD,MARRARA,NT,0812,AUS,70102102208,70009640000,130.91416606,-12.40868015,0491570158,0755504529,0770102092,lilyij.burnsno@his4ehr.com,56167382473,,,161,91.0,96,111,M,4,
500072,301550,,,,BUTTERWORTHTU,SPENCERLM,1976-10-27,M,4,JANGALA,ST,ALI CURUNG,NT,0872,AUS,70202105504,70036840000,134.40796622,-21.005149,0491570159,0755504501,0770104689,spencerlm.butterworthtu@his4ehr.com,53813448422,,,178,79.9,82,89,M,4,
500073,301571,,,,WESTBROOKLM,THOMASAB,1948-11-03,M,30,FRANCES BAY,DR,DARWIN CITY,NT,0800,AUS,70101100206,70016385900,130.84829601,-12.4588348,0491570157,0755506402,0770103004,thomasab.westbrooklm@his4ehr.com,56863837473,,,171,101.9,106,154,S,4,
500074,301592,,,,JONESWX,HEATHERFG,1942-11-05,F,90,EVA VALLEY,RD,NITMILUK,NT,0852,AUS,70205106505,70022500000,132.82752709,-14.26615701,0491570156,0755504189,0770101927,heatherfg.joneswx@his4ehr.com,58772168074,,,153,69.9,73,113,S,4,
500075,301614,,,,DAVISBC,MELODYTU,1948-11-03,F,13,MCINNIS,CCT,DRIVER,NT,0830,AUS,70104103705,70023030000,130.97212576,-12.48453557,0491570110,0755504336,0770104094,melodytu.davisbc@his4ehr.com,57696290463,,,157,67.1,71,113,S,4,
500076,301635,,,,GRAHAMERS,RUBENTU,1953-11-02,M,10,KIPARA,ST,TITJIKALA,NT,0872,AUS,70201105206,70031670000,134.07783212,-24.67535596,0491570110,0755502888,0770100409,rubentu.grahamers@his4ehr.com,57802353514,,,181,80.8,87,99,D,4,
500077,301656,,,,YARNOLDGH,PERRYAB,1954-11-02,M,7,KERR,CT,KNUCKEY LAGOON,NT,0828,AUS,70102101203,70019610000,130.92613267,-12.42116507,0491570159,0755508294,0770108834,perryab.yarnoldgh@his4ehr.com,52752556144,,,174,84.6,88,117,M,4,
500078,301678,,,,MCLAUGHLANXY,CAROLHI,1940-11-05,F,52,IRRAMPENYE,ST,MOUNT JOHNS,NT,0874,AUS,70201104911,70016417100,133.88275781,-23.72232793,0491570157,0755505560,0770101751,carolhi.mclaughlanxy@his4ehr.com,51982017522,,,152,94.6,99,184,M,4,
500079,301700,,,,JEFFERYNO,CELESTEOP,1956-11-01,F,1,DULINDA,TCE,LYONS,NT,0810,AUS,70102102112,70009067100,130.8913152,-12.36234118,0491570157,0755505949,0770104347,celesteop.jefferyno@his4ehr.com,50684745731,,,156,71.0,73,96,S,4,
500080,301721,,,,GORELM,LAMONTFG,1963-10-31,M,9,BIRKDALE,CT,MARRARA,NT,0812,AUS,70102102201,70009750000,130.8947239,-12.39960048,0491570159,0755509101,0770106936,lamontfg.gorelm@his4ehr.com,55364851762,,,175,96.4,98,88,M,4,
500081,301743,,,,QUILLIAMNO,MARIANLM,1958-11-01,F,3,ARNHEM,RD,NHULUNBUY,NT,0880,AUS,70204106401,70021962000,136.7746286,-12.18966233,0491570157,0755508195,0770104909,marianlm.quilliamno@his4ehr.com,58874123613,,,157,79.5,82,112,W,4,
500082,301765,,,,DURIGHELLONO,NANCYNO,1941-11-05,F,27,ROYAL,CCT,DURACK,NT,0830,AUS,70104103817,70016383200,130.9686127,-12.47263412,0491570157,0755509806,0770105912,nancyno.durighellono@his4ehr.com,51328448732,,,166,78.4,89,162,D,4,
500083,301787,,,,SVENSKOP,EMANUELWX,1949-11-03,M,35,GRANITES,DR,ROSEBERY,NT,0832,AUS,70104104304,70024940000,130.9931587,-12.50290382,0491570158,0755507079,0770106087,emanuelwx.svenskop@his4ehr.com,59452344054,,,180,74.9,82,89,S,4,
500084,301809,,,,KULCZAKPQ,JAMESCD,1977-10-27,M,21,SOVEREIGN,CCT,COCONUT GROVE,NT,0810,AUS,70102101608,70016415300,130.85379771,-12.39391212,0491570110,0755508538,0770102152,jamescd.kulczakpq@his4ehr.com,54205993322,,,180,83.2,87,92,D,4,
500085,301831,,,,SCHADEGGFG,SANDRALM,1976-10-27,F,1,BELL,CR,BELLAMACK,NT,0832,AUS,70104104315,70016406200,130.98672316,-12.51228361,0491570159,0755503478,0770105201,sandralm.schadeggfg@his4ehr.com,55607604311,,,171,90.5,99,129,M,1,
500086,301852,,,,LAZARUSEF,JACKNO,1976-10-27,M,130,SCOTT,RD,FINNISS VALLEY,NT,0822,AUS,70203105711,70003710000,130.94511927,-13.03187284,0491570110,0755500235,0770105114,jackno.lazarusef@his4ehr.com,55240335542,,,172,82.3,82,87,M,4,
500087,301873,,,,OSBORNEPQ,EDNAVW,1964-10-30,F,,AIRPORT,RD,WEST ARNHEM,NT,0822,AUS,70203106107,70016402800,132.52833167,-11.16621691,0491570159,0755501652,0770105292,ednavw.osbornepq@his4ehr.com,59658195865,,,154,79.8,80,106,S,4,
500088,301895,,,,BRENNANNO,SCOTTDE,1939-11-06,M,15,DAMIRRINDA,ST,LYONS,NT,0810,AUS,70102102109,70016400900,130.88941906,-12.35386502,0491570158,0755507215,0770106297,scottde.brennanno@his4ehr.com,51452141365,,,179,84.5,93,105,S,4,
500089,301916,,,,JURCUNBC,HELENYZ,1969-10-29,F,99,MATTHEWS,RD,WULAGI,NT,0812,AUS,70102103003,70014040000,130.90087133,-12.38709458,0491570110,0755505281,0770103897,helenyz.jurcunbc@his4ehr.com,54919236931,,,157,56.9,57,61,M,4,
500090,301937,,,,GOLLSCHEWSKIXY,ROBERTTU,1948-11-03,M,9,DUKE,ST,STUART PARK,NT,0820,AUS,70101100808,70012420000,130.84321604,-12.45030076,0491570159,0755504607,0770107219,roberttu.gollschewskixy@his4ehr.com,58466966033,,,171,74.1,77,87,M,4,
500091,301959,,,,ROBBBC,CYNTHIAJK,1959-11-01,F,23,ABRAHAMS,CT,MALAK,NT,0812,AUS,70102102210,70009410000,130.90827743,-12.39291933,0491570159,0755505630,0770105320,cynthiajk.robbbc@his4ehr.com,57835301231,,,158,79.2,82,101,M,4,
500092,301981,,,,FELBYMN,CATHERINEPQ,1952-11-02,F,1,HOLZERLAND,ST,MALAK,NT,0812,AUS,70102102211,70009580000,130.90450578,-12.39522232,0491570110,0755509342,0770104663,catherinepq.felbymn@his4ehr.com,53968530562,,,153,83.3,85,128,D,4,
500093,302002,,,,DILLONKL,ARRONXY,1941-11-05,M,21,POTT,ST,MOIL,NT,0810,AUS,70102102403,70010240000,130.87833671,-12.38691312,0491570159,0755501072,0770109150,arronxy.dillonkl@his4ehr.com,58877522253,,,163,84.4,85,91,M,4,
500094,302024,,,,COADUV,THOMASNO,1943-11-05,M,6,MALUKA,DR,PALMERSTON CITY,NT,0830,AUS,70104104110,70023823000,130.98747441,-12.48172594,0491570157,0755506798,0770101597,thomasno.coaduv@his4ehr.com,53071891413,,,172,79.6,84,91,S,4,
