ClinicId,HPI-O,ClinicName,DrId,providerNo,prescriberNo,ahpraNo,HPI-I,IHI,givenName,familyName,streetNo,streetName,shortStreetType,suburb,state,postcode,longitude,latitude,country,mobile,homePhone,businessPhone,email,birthdate,sex,medicareNo,dvaNo,dvaType,height,weight,waist,hips,married,race
123456,,,,,,,,8003609944330644,FRANCESKL,WIESEUV,3,ARRUNGE,CR,YUELAMU,NT,0872,132.20543193,-22.26084168,AUS,0491570110,0755500440,0770108719,franceskl.wieseuv@his4ehr.com,2007-09-25,F,58034664663,,,158,62.6,82,111,S,4
123457,8003629903426860,STUART HIGHWAY Medical,,,,,,,,,23923,STUART,HWY,WARUMUNGU,NT,0852,134.23641527,-19.53862627,AUS,0491570157,,0770100820,StuartHighwayMedical@his4ehr.com,,,,,,,,,,,
123457,,,165841,814244NB,8142443,MED9386386934,8003619903071808,8003609919307858,KIMBERLYUV,BURLJK,19,BRAY,ST,ELLIOTT,NT,0862,133.53954694,-17.5536335,AUS,0491570110,,0770100236,kimberlyuv.burljk@his4ehr.com,1978-10-02,F,,,,157,64.9,,,,
123457,,,165849,169311UB,1693113,MED9184783694,8003619903071923,8003609901646461,ETHANOP,NGUYENYZ,87,STANDLEY,ST,TENNANT CREEK,NT,0860,134.17971754,-19.65595475,AUS,0491570157,,0770107244,ethanop.nguyenyz@his4ehr.com,1992-09-28,M,,,,188,99.5,,,,
123457,,,165856,8721508W,8721507,MED9898252955,8003619903072046,8003609951018009,RYANJK,RICEPQ,6,PARNTTALI,RD,TENNANT CREEK,NT,0860,134.17895449,-19.648257,AUS,0491570156,,0770105506,ryanjk.ricepq@his4ehr.com,2019-09-22,M,,,,97,22.0,,,,
123457,,,,,,,,8003609936590684,WILLIAMUV,MILLERST,28,ALAKENH,ST,ALI CURUNG,NT,0872,134.4093094,-21.00284799,AUS,0491570110,0755509910,0770105662,williamuv.millerst@his4ehr.com,2011-09-24,M,54706316242,,,134,54.4,78,81,S,4
123457,,,,,,,,8003609909351007,JOHNHI,TICKNERYZ,60,HADDOCK,ST,TENNANT CREEK,NT,0860,134.1930282,-19.64784289,AUS,0491570158,0755501693,0770104033,johnhi.tickneryz@his4ehr.com,1953-10-08,M,58012399311,SX877436 ,GOL,165,105.1,104,124,M,4
123457,,,,,,,,8003609934253970,SCOTTFG,BARTLETTNO,33,STANDLEY,ST,TENNANT CREEK,NT,0860,134.1842234,-19.65582593,AUS,0491570156,0755507319,0770104361,scottfg.bartlettno@his4ehr.com,1949-10-09,M,55791816623,,,168,104.3,106,119,S,4
123457,,,,,,,,8003609973767963,MARIAST,MATTHEWSAB,105,AMBROSE,ST,TENNANT CREEK,NT,0860,134.19255525,-19.64103016,AUS,0491570159,0755506487,0770100916,mariast.matthewsab@his4ehr.com,1949-10-09,F,57090050221,,,146,56.5,56,80,W,4
123457,,,,,,,,8003609953820311,ERICAUV,GOODINGWX,38,STUART,ST,TENNANT CREEK,NT,0860,134.196123,-19.64339095,AUS,0491570110,0755502589,0770102261,ericauv.goodingwx@his4ehr.com,1989-09-29,F,42317293373,,,163,88.7,99,138,M,4
123457,,,,,,,,8003609912726427,MARIEYZ,BATEUPIJ,8624,STUART,HWY,WARUMUNGU,NT,0852,134.24646611,-20.43084264,AUS,0491570157,0755507657,0770101989,marieyz.bateupij@his4ehr.com,2004-09-25,F,58178876465,,,158,70.0,82,108,M,4
123457,,,,,,,,8003609998369670,BILLYZ,ROBINSONQR,46,AWERR-AWERR,RD,ALPURRURULAM,NT,4825,137.84843921,-20.98189951,AUS,0491570157,0755505758,0770104019,billyz.robinsonqr@his4ehr.com,1956-10-07,M,56635171823,,,179,97.5,103,130,M,4
123457,,,,,,,,8003609976806958,DANIELEF,RUSSELLJK,22854,BARKLY,HWY,RANKEN,NT,4825,137.83269957,-19.96660211,AUS,0491570156,0755501302,0770106129,danielef.russelljk@his4ehr.com,1961-10-06,M,52070523071,,,166,62.3,60,62,S,4
123457,,,165863,817932CK,8179320,MED9771781777,8003619903072152,8003609990694463,DEBORAHYZ,DAYST,66,PEKO,RD,TENNANT CREEK,NT,0860,134.19895219,-19.64740765,AUS,0491570156,,0770108353,deborahyz.dayst@his4ehr.com,2009-09-24,F,,,,146,54.2,,,,
123457,,,,,,,,8003609986995296,GERRYVW,JERABEKCD,9,PENGE,ST,TARA,NT,0872,133.99725754,-21.50651482,AUS,0491570156,0755502379,0770107900,gerryvw.jerabekcd@his4ehr.com,2021-09-21,M,50102979143,,,84,13.6,46,57,S,4
123457,,,,,,,,8003609950066900,CECILST,BOURKEKL,1,TEREKERR,ST,DAVENPORT,NT,0872,134.68154456,-21.04881421,AUS,0491570157,0755505406,0770105826,cecilst.bourkekl@his4ehr.com,1995-09-28,M,55650573874,,,175,67.2,80,83,M,4
123457,,,,,,,,8003609938103890,ANAUV,GIBSONBC,82,SCHMIDT,ST,TENNANT CREEK,NT,0860,134.18958639,-19.64196322,AUS,0491570156,0755500343,0770103115,anauv.gibsonbc@his4ehr.com,1992-09-28,F,56960902512,,,167,64.1,74,113,M,4
123457,,,,,,,,8003609913590335,TONIUV,MARTINVW,8020,BARKLY,HWY,COSTELLO,NT,0872,136.49947625,-20.00776189,AUS,0491570159,0755509429,0770108181,toniuv.martinvw@his4ehr.com,1983-10-01,F,52411618652,,,152,65.8,66,109,S,4
123457,,,,,,,,8003609990332866,WARRENWX,HOUAREAUEF,9759,BARKLY,HWY,TABLELANDS,NT,0862,135.11923918,-18.85968275,AUS,0491570159,0755503257,0770101891,warrenwx.houareauef@his4ehr.com,1945-10-10,M,50043049311,,,174,80.6,86,101,M,4
123457,,,,,,,,8003609905834592,JOHNLM,LHUEDEMN,19,MEYERS,ST,TENNANT CREEK,NT,0860,134.19219639,-19.65558722,AUS,0491570156,0755504102,0770101583,johnlm.lhuedemn@his4ehr.com,1958-10-07,M,57312609734,,,177,78.0,81,73,M,4
123457,,,165871,818354LJ,8183541,MED9862533552,8003619903072277,8003609992865228,MICHAELNO,TIBBEYYZ,46,GRAY,CT,TENNANT CREEK,NT,0860,134.18520256,-19.65397468,AUS,0491570156,,0770104488,michaelno.tibbeyyz@his4ehr.com,2018-09-22,M,,,,108,23.8,,,,
123457,,,,,,,,8003609981641283,DAVIDRS,MACKINTOSHHI,17,SCHEELITE,CR,TENNANT CREEK,NT,0860,134.19418849,-19.6482647,AUS,0491570156,0755506592,0770102711,davidrs.mackintoshhi@his4ehr.com,1980-10-01,M,52038431863,,,177,82.1,86,115,S,4
123457,,,,,,,,8003609947369920,CHRISTOPHERVW,TICKNERQR,99,AMBROSE,ST,TENNANT CREEK,NT,0860,134.19245528,-19.64198901,AUS,0491570158,0755502301,0770104195,christophervw.ticknerqr@his4ehr.com,1981-10-01,U,54462490644,,,178,82.4,88,96,M,4
123457,,,,,,,,8003609996601256,DANIELFG,JELLISOP,30,NOBLE,ST,TENNANT CREEK,NT,0860,134.19083339,-19.64090022,AUS,0491570158,0755503717,0770104738,danielfg.jellisop@his4ehr.com,1946-10-10,M,53954898525,,,172,88.9,93,110,M,4
123457,,,,,,,,8003609950015691,SUZANMN,DONOVANWX,24,WHIPPET,ST,TENNANT CREEK,NT,0860,134.19434139,-19.65478322,AUS,0491570157,0755508331,0770106907,suzanmn.donovanwx@his4ehr.com,1990-09-29,F,55267566671,,,167,95.8,110,131,S,4
123457,,,,,,,,8003609908547746,CLARENCECD,REYNOLDSRS,3,JANGALA,ST,ALI CURUNG,NT,0872,134.40753576,-21.00518648,AUS,0491570157,0755506966,0770105281,clarencecd.reynoldsrs@his4ehr.com,2015-09-23,M,50309812444,,,127,36.4,70,78,S,4
